num,presenters,title,description,cost,date,room,maxparticipants,infourl,numppl,pplregistered,roomsetuprequested,URL
562,"Alison Clear, Allen Parrish and John Impagliazzo",Development and Visualization of Computing Competencies,"<p>The CC2020 project is a joint effort of several worldwide computing societies that include ACM, IEEE, AIS, and other related organizations. The project has a tasks force comprised of thirty-six people from sixteen countries and six continents with a focus on two major components. The first is the use and development of competencies relative to the future of computing education; the second is a modern interactive visualization tool to demonstrate competencies and the way they relate to computing disciplines.</p>
<p>This pre-conference workshop briefly addresses the CC2005 overview report, which is a precursor to the pending CC2020 report. The first part of the workshop discusses the meaning of competencies in a computing context, how the task force developed competencies from earlier curricula reports, and the way the task force could develop competencies for the future. The latter part of the workshop illustrates the progress the CC2020 project has made to illustrate the way competencies, computing disciplines, and their visualization interact. </p>
<p>The workshop promises to be a very “hands-on” experience where participants contribute to competency development and evaluate the visualization tool under development. The CC2020 project co-chairs (Clear and Parrish) will be leading the workshop. A CC2020 steering committee member (Impagliazzo) will be piloting the competency discussion; another steering committee member will be directing the visualization discussion. The workshop outcome promises to be a rewarding experience for all concerned.  </p>
",,"Wednesday Feb 27, 1:30 PM-5:00 PM",Hyatt: Greenway A (2nd floor),25,http://www.cc2020.net,25,,"classroom, tables/chairs for all participants, computer projector",http://www.cc2020.net
865,"Lauren Mock, Michael Ball, Dan Garcia and Tiffany Barnes",Computer Science Principles Providers and Teachers Forum,"<p>To accompany the launch of the AP Computer Science Principles course in 2016, the College Board has sought providers to develop AP CSP curriculum and provide professional development. Over a half dozen experienced organizations and academic institutions have jumped in to meet this need, including the Beauty and Joy of Computing, Bootstrap, UTeach Computer Science, Exploring Computer Science, and Mobile CSP. Three years have passed since the initial offerings of professional development opportunities under the 2016 CSTA Computer Science For All Community Giving initiative, but year-after-year, there has been no community for all providers or teachers to discuss best practices, feedback, or share teaching experiences. The CSP Providers and Teachers Forum aims to increase collaboration and discussion among College Board endorsed providers and teachers by offering an agenda that can include sharing successes and failures of professional development, reviewing common teaching issues providers and teachers encounter, discussing strategies for teacher recruitment and keeping in touch with teachers, and preparing for and reading results of the AP CS Principles exam.</p>",,"Wednesday Feb 27, 8:30 AM-12:00 PM",Hyatt: Greenway H (2nd floor),70,http://bjc.berkeley.edu/sigcse-csp-forum,70,,"Classroom (tables/chairs for all participantsPodium, Extra microphones, Powerstrips to all tables, Power/charging station at back of room",http://bjc.berkeley.edu/sigcse-csp-forum
868,Jamie Payton and Tiffany Barnes,RESPECT,"<p>Understanding how to apply fundamental computer science problem solving skills is quickly becoming a required competency. It is critical to address issues of equity and inclusion so that we can engage all people in learning key concepts in computing. The Fourth Annual Conference on Research in Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT) is intended to serve a premier venue for peer-reviewed research on broadening participation in computing. Since broadening participation research is inherently interdisciplinary, we invite contributions from computer science education, educational leadership, learning sciences, cognitive or social psychology, social sciences, and related disciplines. All papers should explicitly state their motivating questions, relate to relevant literature, and contain an analysis of effectiveness. Research papers should adhere to rigorous standards, describing hypotheses, methods, and results. Experience reports should carefully describe the context and provide a rich reflection on what worked, what didn’t, and why. RESPECT 2019 will be organized as a joint meeting with RPPforCS, a community of awardees for NSF CS for ALL Researcher Practitioner Partnerships (RPP), and will be co-located with the ACM Technical Symposium on Computer Science Education (SIGCSE) as a pre-symposium event on February 27, 2019 in Minneapolis, MN. As in previous editions of the conference, the RESPECT 2019 proceedings will be submitted for inclusion to IEEE Xplore and will be submitted for cross-indexing in the ACM Digital Library.</p>",,"Wednesday Feb 27, 9:00 AM-6:30 PM",Millenium: Grand Ballroom,200,http://respect2019.stcbp.org/ ,200-250 I'D SAY TO DOUBLE CHECK:  (this seems to also include the numbers from RPPforCS,,"SEE DETAILS IN PROPOSAL. ½ classroom ½ theatre style (rows of tables in the front half of the room and chairs only in the back half of the room; likely available)  - Podium, extra mics, powership all tables --- We will need 3 rooms in the morning that seat 75 people each and two rooms in the afternoon (one with ~150 seats, another with ~100 seats). Details about rooms and A/V needs identified for each section in RESPECT (numbes from RPP for CS seems to be included .)",http://respect2019.stcbp.org/ 
873,"Melissa Dark, Blair Taylor, Sidd Kaza and Maureen Turney",FREE Cybersecurity Curriculum,"<p>This 4 hour hands-on workshop is designed for faculty who are new to teaching cybersecurity, as well as faculty who are expanding what they teach in cybersecurity.  The primary goal of this workshop is to show faculty cybersecurity curriculum, labs and other resources developed under the National Cybersecurity Curriculum Program, funded by the National Security Agency, as well as other NSF funded curriculum projects.  In this workshop, faculty will learn about NCCP and the curriculum materials that have been produced, peer reviewed, and published for public use in CLARK (Curriculum Library and Resource Knowledge Base).  Attendees will set up accounts in CLARK and explore and get hands-on practice with modules, labs, and videos on topics such as secure coding, SCADA, privacy, adversarial thinking, and many more. Interested faculty will also have the opportunity to learn about joining a community of practice to advance cybersecurity education at their home institution.</p>",,"Wednesday Feb 27, 1:30 PM-5:00 PM",Hyatt: Greenway I (2nd floor),50,,50,, ability to project and WIFI access.  The room can be set up classroom style.  ,
883,"Deborah Seehorn, Chris Dovi, Rebecca Dovi, Sarah Dunton, Dave Frye and Jayce Warner","Broadening Participation in Computing, Amplifying Efforts in Rural Communities","<p>As educators work to broaden access to computer science education, the unique opportunities and challenges of working in rural communities present a concern that must be addressed. The organizers of this session all work to broaden participation in computing pathways in their respective states, particularly for the rural communities within their states.  This session will inform participants of the different strategies that each state is pursuing to broaden access and participation to computing education in the rural communities in their states.  Participants will define the opportunities and challenges in their own state and develop a strategic plan for addressing BPC in their own rural communities.</p>",,"Wednesday Feb 27, 8:30 AM-12:00 PM",Hyatt: Greenway C (2nd floor),100,https://ecepalliance.org/ ,75-100,,"round tables seating for 8 at each table. We would like to have four large post-it type flip charts (with paper) for use during the session. Podium
Flipcharts (bring your own pens)
Extra microphones
Powerstrips to all tables
Power/charging station at back of room",https://ecepalliance.org/ 
903,Richard Ladner and Andrew Ko,What to Teach about Accessibility,"<p>This workshop will be for faculty and prospective faculty who want to learn in more depth about teaching accessibility.  There will be short presentations by people who already teach accessibility topics in various courses such as app and web development, machine learning, computer vision, natural language processing, and human-computer interaction.  After these presentations there will be ample time to break into small groups based on teaching topic to go into more depth about what to teach, when teaching about accessibility.</p>",,"Wednesday Feb 27, 1:30 PM-5:00 PM",Hyatt: Greenway C (2nd floor),40,,30 to 40,, A room with round tables would be ideal for breaking up into groups. An A/V setup will be needed for presentations,TBP
909,Michael Goldweber and Lisa Kaczmarczyk,Computing for the Social Good in Computer Science Education,"<p>Computing for the Social Good: Educational Practices (CSG-Ed), is an umbrella term meant to incorporate any educational activity, from small to large, that endeavors to convey and reinforce computing’s social relevance and potential for positive societal impact.</p>
<p>This SIGCAS sponsored mini-symposium is an opportunity for CSG-Ed practitioners to present their projects/practices and meet like minded colleagues. Our goal is for current and future CSG-Ed practitioners to share acquired wisdom, discover new collaborators, and review lessons learned. Furthermore, we will discuss how we can grow the CSG-Ed movement with a focus on  attracting and supporting educators who value the impact of CSG-Ed.</p>",,"Wednesday Feb 27, 8:30 AM-12:00 PM",Hyatt: Greenway A (2nd floor),86,http:// www.sigcas.org ,sigcas?,,½ classroom ½ theatre style (rows of tables in the front half of the room and chairs only in the back half of the room; likely available),http:// www.sigcas.org 
938,"Lori Pollock, Christine Alvarado, Barbara Ryder and Mark Sherriff",Professional Development Workshop for Teaching-Track Faculty,"<p>Computer Science departments have experienced significant course enrollment increases and today many departments graduate the largest number of CS majors in their history. With fewer than a third of the new PhDs in CS seeking academic positions, the field faces a serious faculty shortage.  Many Ph.D. granting departments have introduced or  increased the number of academic teaching faculty positions that have  academic rank and typically no tenure.  The one-day workshop will focus on the professional development of teaching track faculty (professor of practice, instructor, clinical faculty, lecturer, etc.) in Ph.D. granting departments. The workshop fills a crucial need as many departments have limited experience on how to mentor, evaluate, and promote this new type of faculty.  The sessions will focus on how teaching faculty can strategize their involvement in departmental as well as research activities, different forms of scholarship and leadership activities to pursue, and best practices for success, promotion, and advancement. Academic leaders involved in supervising and evaluating teaching track faculty will provide their perspective and insights.",,"Wednesday Feb 27, 8:30 AM-5:00 PM",Hyatt: Greenway J (2nd floor),60,https://cra.org/crae/activities/teaching-track-faculty-sigcse-2019,60,, Seven 8-person round tables with chairs; Podium with setup for laptop projection; Front table with 5 chairs for panel discussion with microphones ,
946,Mary Jane Willshire-Fairley and Liz Glazer,2019 CSAB Computing Accreditation Workshop,"<p>At CSAB's Computing Accreditation Workshop, CS, IS, IT, Cybersecurity, and general computing faculty and administrators learn the ins and outs of preparing for a Computing Accreditation Commission/ABET visit, including:</p>
<ul>
<li>the purpose and content of the self-study,</li>
<li>the benefit of an ABET readiness review,</li>
<li>best practices in display materials,</li>
<li>understanding the criteria and terminology,</li>
<li>and visit logistics.</li>
</ul>

<p>The workshop is led and facilitated by experienced CAC/ABET visit team chairs and CSAB leaders.</p>
<p>This year’s workshop will cover the new general and program criteria that will be used to evaluate all CAC/ABET programs from 2019 forward. (You can find the criteria at <a href=""http://www.abet.org/accreditation/accreditation-criteria/cac-criteria/"">http://www.abet.org/accreditation/accreditation-criteria/cac-criteria/</a>.)</p>
<p>This is the only comprehensive accreditation learning opportunity of its kind for computing degree programs. The fee is just $150, including continental breakfast, lunch, and materials.</p>
<p>Updates and a link to register can be found at <a href='http://csab.org/workshops.html'>http://csab.org/workshops.html</a>. </p>",$150.00,"Wednesday Feb 27, 8:30 AM-5:00 PM",Hyatt: Greenway D (2nd floor),50,http://csab.org/workshops.html,50,,,
950,"Alan Peterfreund, Rebecca Zarch and Leigh Ann DeLyser",RPPforCS,"<p>RPPforCS, formed in 2017, is a connected community of practice designed to support the NSF CS For All: RPP awardees and facilitate a common research agenda among its members, develop evaluator and researcher capacity, and collect common data elements across RPP projects.  This event will begin with a plenary session with the RESPECT conference titled “CS for Prek-8 - Theory and Practice Supporting Broadening Participation” The plenary will include panelists Diane Franklin, Mimi Recker and Aman Yadav (all Year 1 RPPforCS awardees focusing on reaching underrepresented populations). The RPPforCS awardees will then go into an afternoon session focused on research activities associated with their projects and the potential for shared data and collaboration.</p>",,"Wednesday Feb 27, 9:00 AM-6:30 PM",Millenium: Grand Ballroom,130,http://respect2019.stcbp.org/ ,130 (likely included in the 200 to 250 of respect),,,
